"DATE","AMT","DC","FY","DESC","CUSTOMER CODE","CUSTOMER GROUP","LINK","CUSTOMER NAME","Amount (+-)","VTYPE","txn_id","txn_date_iso","voucher_type_norm","signed_amount","due_date_iso","open_amount","collector_owner","risk_tier"
"4/9/2024","29999","D","2024-2025","Default Sales Invoice","100113","Sundry Debtors","SA100015","SmartHub Electronics Delhi","-29999","SA","SA100015","2024-04-08T18:30:00.000Z","Sales Invoice","-29999","2024-05-08T18:30:00.000Z","29999","Collections West","Low"
"4/16/2024","74999","C","2024-2025","Default Bank Receipt Voucher","100105","Sundry Debtors","BR100016","Amazon India Enterprises","74999","BR","BR100016","2024-04-15T18:30:00.000Z","Bank Receipt","74999","","0","Collections North","Low"
"4/20/2024","114999","D","2024-2025","Default Sales Invoice","100110","Sundry Debtors","SA100017","Reliance JioMart Resellers","-114999","SA","SA100017","2024-04-19T18:30:00.000Z","Sales Invoice","-114999","2024-05-19T18:30:00.000Z","114999","Collections West","Low"
"4/25/2024","32999","D","2024-2025","Default Sales Invoice","100124","Sundry Debtors","SA100018","Smart Electronics Nashik","-32999","SA","SA100018","2024-04-24T18:30:00.000Z","Sales Invoice","-32999","2024-05-24T18:30:00.000Z","32999","Collections South","Low"
"4/28/2024","8999","C","2024-2025","Default Sales Return Invoice","100126","Sundry Debtors","SR100019","Gadget Zone Indore","8999","SR","SR100019","2024-04-27T18:30:00.000Z","SR","8999","","0","Collections North","Low"
"5/3/2024","41999","D","2024-2025","Default Sales Invoice","100101","Sundry Debtors","SA100020","Reliance Digital Mumbai","-41999","SA","SA100020","2024-05-02T18:30:00.000Z","Sales Invoice","-41999","2024-06-01T18:30:00.000Z","41999","Collections West","Low"
"5/6/2024","154999","C","2024-2025","Default Bank Receipt Voucher","100117","Sundry Debtors","BR100021","GizmoKart India","154999","BR","BR100021","2024-05-05T18:30:00.000Z","Bank Receipt","154999","","0","Collections North","Low"
"4/11/2024","106999","D","2024-2025","Default Sales Invoice","100111","Sundry Debtors","SA100022","The Mobile Store Kolkata","-106999","SA","SA100022","2024-04-10T18:30:00.000Z","Sales Invoice","-106999","2024-05-10T18:30:00.000Z","106999","Collections North","Low"
"4/15/2024","124999","D","2024-2025","Default Sales Invoice","100114","Sundry Debtors","SA100023","UrbanTek Solutions Hyderabad","-124999","SA","SA100023","2024-04-14T18:30:00.000Z","Sales Invoice","-124999","2024-05-14T18:30:00.000Z","124999","Collections North","Low"
"4/19/2024","9999","D","2024-2025","Default Sales Invoice","100120","Sundry Debtors","SA100024","Global Gadget Bazaar Nagpur","-9999","SA","SA100024","2024-04-18T18:30:00.000Z","Sales Invoice","-9999","2024-05-18T18:30:00.000Z","9999","Collections North","Low"
"4/23/2024","18999","C","2024-2025","Default Bank Receipt Voucher","100125","Sundry Debtors","BR100025","Future Tech Solutions Vadodara","18999","BR","BR100025","2024-04-22T18:30:00.000Z","Bank Receipt","18999","","0","Collections West","Low"
"4/27/2024","14999","D","2024-2025","Default Sales Invoice","100127","Sundry Debtors","SA100026","Tech Haven Surat","-14999","SA","SA100026","2024-04-26T18:30:00.000Z","Sales Invoice","-14999","2024-05-26T18:30:00.000Z","14999","Collections South","Low"
"5/2/2024","7999","D","2024-2025","Default Sales Invoice","100129","Sundry Debtors","SA100027","Gadget Galaxy Ranchi","-7999","SA","SA100027","2024-05-01T18:30:00.000Z","Sales Invoice","-7999","2024-05-31T18:30:00.000Z","7999","Collections North","Low"
"5/5/2024","24999","C","2024-2025","Default Bank Receipt Voucher","100128","Sundry Debtors","BR100028","Electronics Emporium Patna","24999","BR","BR100028","2024-05-04T18:30:00.000Z","Bank Receipt","24999","","0","Collections West","Low"
"4/13/2024","52999","D","2024-2025","Default Sales Invoice","100103","Sundry Debtors","SA100029","Vijay Sales Ahmedabad","-52999","SA","SA100029","2024-04-12T18:30:00.000Z","Sales Invoice","-52999","2024-05-12T18:30:00.000Z","52999","Collections South","Low"
"4/17/2024","34999","D","2024-2025","Default Sales Invoice","100116","Sundry Debtors","SA100030","MegaMart Electronics Bhopal","-34999","SA","SA100030","2024-04-16T18:30:00.000Z","Sales Invoice","-34999","2024-05-16T18:30:00.000Z","34999","Collections West","Low"
"4/21/2024","11999","C","2024-2025","Default Sales Return Invoice","100130","Sundry Debtors","SR100031","Smart Tech Solutions Raipur","11999","SR","SR100031","2024-04-20T18:30:00.000Z","SR","11999","","0","Collections South","Low"
"4/29/2024","2499","D","2024-2025","Default Sales Invoice","100106","Sundry Debtors","SA100032","Tata CLiQ Electronics","-2499","SA","SA100032","2024-04-28T18:30:00.000Z","Sales Invoice","-2499","2024-05-28T18:30:00.000Z","2499","Collections South","Low"
"5/4/2024","109500","C","2024-2025","Default Bank Receipt Voucher","100122","Sundry Debtors","BR100033","Gadget Galaxy Coimbatore","109500","BR","BR100033","2024-05-03T18:30:00.000Z","Bank Receipt","109500","","0","Collections West","Low"
"5/7/2024","14499","D","2024-2025","Default Sales Invoice","100108","Sundry Debtors","SA100034","Poorvika Mobiles Chennai","-14499","SA","SA100034","2024-05-06T18:30:00.000Z","Sales Invoice","-14499","2024-06-05T18:30:00.000Z","14499","Collections North","Low"
"4/10/2024","5499","D","2024-2025","Default Sales Invoice","100119","Sundry Debtors","SA100035","Apex Tech Solutions Noida","-5499","SA","SA100035","2024-04-09T18:30:00.000Z","Sales Invoice","-5499","2024-05-09T18:30:00.000Z","5499","Collections West","Low"
"4/30/2024","4499","C","2024-2025","Default Bank Receipt Voucher","100107","Sundry Debtors","BR100036","Snapdeal Retail Hub","4499","BR","BR100036","2024-04-29T18:30:00.000Z","Bank Receipt","4499","","0","Collections West","Low"
"5/8/2024","9499","D","2024-2025","Default Sales Invoice","100118","Sundry Debtors","SA100037","Future Retail Limited","-9499","SA","SA100037","2024-05-07T18:30:00.000Z","Sales Invoice","-9499","2024-06-06T18:30:00.000Z","9499","Collections South","Low"
"5/9/2024","119999","C","2024-2025","Default Bank Receipt Voucher","100109","Sundry Debtors","BR100038","Sangeetha Mobiles Bengaluru","119999","BR","BR100038","2024-05-08T18:30:00.000Z","Bank Receipt","119999","","0","Collections South","Low"
"4/6/2024","8999","D","2024-2025","Default Sales Invoice","100123","Sundry Debtors","SA100039","Digital Hub Agra","-8999","SA","SA100039","2024-04-05T18:30:00.000Z","Sales Invoice","-8999","2024-05-05T18:30:00.000Z","8999","Collections North","Low"
"5/10/2024","32999","C","2024-2025","Default Sales Return Invoice","100121","Sundry Debtors","SR100040","TechWorld Electronics Chandigarh","32999","SR","SR100040","2024-05-09T18:30:00.000Z","SR","32999","","0","Collections South","Low"
"5/11/2024","69999","C","2024-2025","Default Bank Receipt Voucher","100102","Sundry Debtors","BR100041","Croma Electronics Pune","69999","BR","BR100041","2024-05-10T18:30:00.000Z","Bank Receipt","69999","","0","Collections North","Medium"
"5/12/2024","154999","D","2024-2025","Default Sales Invoice","100115","Sundry Debtors","SA100042","Gadgetry Hub Jaipur","-154999","SA","SA100042","2024-05-11T18:30:00.000Z","Sales Invoice","-154999","2024-06-10T18:30:00.000Z","154999","Collections South","Low"
"5/13/2024","41999","D","2024-2025","Default Sales Invoice","100112","Sundry Debtors","SA100043","TechNexus Gadgets Surat","-41999","SA","SA100043","2024-05-12T18:30:00.000Z","Sales Invoice","-41999","2024-06-11T18:30:00.000Z","41999","Collections South","Low"
"5/14/2024","109500","C","2024-2025","Default Bank Receipt Voucher","100104","Sundry Debtors","BR100044","Flipkart Sellers Pvt Ltd","109500","BR","BR100044","2024-05-13T18:30:00.000Z","Bank Receipt","109500","","0","Collections West","Low"
"5/15/2024","52999","D","2024-2025","Default Sales Invoice","100113","Sundry Debtors","SA100045","SmartHub Electronics Delhi","-52999","SA","SA100045","2024-05-14T18:30:00.000Z","Sales Invoice","-52999","2024-06-13T18:30:00.000Z","52999","Collections West","Low"
"5/16/2024","14999","C","2024-2025","Default Sales Return Invoice","100105","Sundry Debtors","SR100046","Amazon India Enterprises","14999","SR","SR100046","2024-05-15T18:30:00.000Z","SR","14999","","0","Collections North","Low"
"5/17/2024","124999","D","2024-2025","Default Sales Invoice","100110","Sundry Debtors","SA100047","Reliance JioMart Resellers","-124999","SA","SA100047","2024-05-16T18:30:00.000Z","Sales Invoice","-124999","2024-06-15T18:30:00.000Z","124999","Collections West","Low"
"5/18/2024","29999","C","2024-2025","Default Bank Receipt Voucher","100124","Sundry Debtors","BR100048","Smart Electronics Nashik","29999","BR","BR100048","2024-05-17T18:30:00.000Z","Bank Receipt","29999","","0","Collections South","Low"
"5/19/2024","106999","D","2024-2025","Default Sales Invoice","100126","Sundry Debtors","SA100049","Gadget Zone Indore","-106999","SA","SA100049","2024-05-18T18:30:00.000Z","Sales Invoice","-106999","2024-06-17T18:30:00.000Z","106999","Collections North","Low"
"5/20/2024","74999","C","2024-2025","Default Bank Receipt Voucher","100101","Sundry Debtors","BR100050","Reliance Digital Mumbai","74999","BR","BR100050","2024-05-19T18:30:00.000Z","Bank Receipt","74999","","0","Collections West","Low"
"5/21/2024","9999","D","2024-2025","Default Sales Invoice","100117","Sundry Debtors","SA100051","GizmoKart India","-9999","SA","SA100051","2024-05-20T18:30:00.000Z","Sales Invoice","-9999","2024-06-19T18:30:00.000Z","9999","Collections North","Low"
"5/22/2024","2499","C","2024-2025","Default Sales Return Invoice","100111","Sundry Debtors","SR100052","The Mobile Store Kolkata","2499","SR","SR100052","2024-05-21T18:30:00.000Z","SR","2499","","0","Collections North","Low"
"5/23/2024","139999","D","2024-2025","Default Sales Invoice","100114","Sundry Debtors","SA100053","UrbanTek Solutions Hyderabad","-139999","SA","SA100053","2024-05-22T18:30:00.000Z","Sales Invoice","-139999","2024-06-21T18:30:00.000Z","139999","Collections North","Low"
"5/24/2024","18999","C","2024-2025","Default Bank Receipt Voucher","100120","Sundry Debtors","BR100054","Global Gadget Bazaar Nagpur","18999","BR","BR100054","2024-05-23T18:30:00.000Z","Bank Receipt","18999","","0","Collections North","Low"
"4/3/2024","114999","D","2024-2025","Default Sales Invoice","100125","Sundry Debtors","SA100055","Future Tech Solutions Vadodara","-114999","SA","SA100055","2024-04-02T18:30:00.000Z","Sales Invoice","-114999","2024-05-02T18:30:00.000Z","114999","Collections West","Low"
"4/1/2024","34999","C","2024-2025","Default Bank Receipt Voucher","100127","Sundry Debtors","BR100056","Tech Haven Surat","34999","BR","BR100056","2024-03-31T18:30:00.000Z","Bank Receipt","34999","","0","Collections South","Low"
"4/2/2024","7999","C","2024-2025","Default Sales Return Invoice","100129","Sundry Debtors","SR100057","Gadget Galaxy Ranchi","7999","SR","SR100057","2024-04-01T18:30:00.000Z","SR","7999","","0","Collections North","Low"
"5/25/2024","52999","D","2024-2025","Default Sales Invoice","100128","Sundry Debtors","SA100058","Electronics Emporium Patna","-52999","SA","SA100058","2024-05-24T18:30:00.000Z","Sales Invoice","-52999","2024-06-23T18:30:00.000Z","52999","Collections West","Low"
"5/26/2024","24999","C","2024-2025","Default Bank Receipt Voucher","100103","Sundry Debtors","BR100059","Vijay Sales Ahmedabad","24999","BR","BR100059","2024-05-25T18:30:00.000Z","Bank Receipt","24999","","0","Collections South","Low"
"5/27/2024","11999","D","2024-2025","Default Sales Invoice","100130","Sundry Debtors","SA100060","Smart Tech Solutions Raipur","-11999","SA","SA100060","2024-05-26T18:30:00.000Z","Sales Invoice","-11999","2024-06-25T18:30:00.000Z","11999","Collections South","Low"
